iso3,country,year,voice_accountability,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption
SLV,El Salvador,2021,51.0010102,62.1021567,46.5089234,50.2997981,42.5917078,36.4858376
SLV,El Salvador,2020,55.214787,63.3356789,48.5651694,53.6791988,45.071142,37.5165892
GNQ,Equatorial Guinea,2024,26.6499881,63.4869552,28.3476973,32.7978063,30.4540727,18.0370999
GNQ,Equatorial Guinea,2023,26.6244257,60.9838483,28.9342709,34.6874323,31.4801164,16.9937945
GNQ,Equatorial Guinea,2022,26.4149139,59.9473897,28.479032,34.6850902,31.4245688,17.1208769
GNQ,Equatorial Guinea,2021,26.6306058,60.4031285,31.0877623,31.2543883,30.6526602,17.1254272
GNQ,Equatorial Guinea,2020,26.7440465,59.3927775,30.6835561,31.2626399,30.6678348,17.1386834
ERI,Eritrea,2024,16.7723692,53.7901219,23.0265068,22.7621975,25.940194,14.7976467
ERI,Eritrea,2023,18.3927233,52.4037143,24.5029613,22.8726447,26.0345534,19.250677
ERI,Eritrea,2022,19.6943729,47.6229894,25.2176826,23.4856183,26.5109492,20.2365571
ERI,Eritrea,2021,19.2882242,48.3502402,24.2228177,23.4965669,28.5385025,20.1540162
ERI,Eritrea,2020,19.534836,47.6073256,24.1661908,23.9974561,29.0169498,20.3018665
EST,Estonia,2024,81.6064996,77.8442761,76.5591936,76.9065617,82.5475225,81.6444462
EST,Estonia,2023,81.3059013,80.3685061,75.9934621,77.7627432,82.473124,81.7145729
EST,Estonia,2022,81.6559703,80.8282096,77.7596927,79.1667514,83.1610479,80.1544972
EST,Estonia,2021,81.4627954,81.0612214,77.9927973,79.4591062,82.5887163,78.9622283
EST,Estonia,2020,81.6020224,81.5734269,77.0103901,78.393671,82.7612794,80.0377096
SWZ,Eswatini,2024,33.266216,53.3772886,36.1519495,44.8006019,42.1656207,31.9619862
SWZ,Eswatini,2023,34.4044186,53.4899964,37.3840626,45.0553103,44.4450579,35.1177346
SWZ,Eswatini,2022,33.8608263,59.04749,39.0505843,45.0533389,44.4531297,35.5362263
SWZ,Eswatini,2021,34.0037883,58.5724729,37.2765527,46.6027011,44.9567992,36.1010623
SWZ,Eswatini,2020,34.7137313,62.5658248,39.2160684,46.5960835,45.6126991,41.7535169
ETH,Ethiopia,2024,35.1042066,33.6960224,38.7798166,41.7214465,38.9119872,38.9918024
ETH,Ethiopia,2023,36.211169,34.0585384,37.9556857,41.6562884,39.0773855,38.4840333
ETH,Ethiopia,2022,37.5210885,34.0209042,37.7281615,42.5363368,41.1619717,39.6253199
ETH,Ethiopia,2021,38.0877526,31.4927932,38.6928804,42.7432106,40.6411603,39.7519469
ETH,Ethiopia,2020,38.68122,38.6764124,40.6134168,41.9953724,42.9561135,40.3946318
FJI,Fiji,2024,62.6535898,77.8248628,63.1811265,55.8892306,62.2273751,59.2444859
FJI,Fiji,2023,59.9323746,79.2681419,61.1284251,53.2894633,62.5689715,58.6299691
FJI,Fiji,2022,57.164706,79.2616509,61.1111102,53.285888,61.0453578,57.1309661
FJI,Fiji,2021,56.9069906,77.2767758,65.55242,53.7614152,59.7806585,57.651127
FJI,Fiji,2020,58.3410465,76.150895,64.0830762,52.4560226,59.7978572,58.8219156
FIN,Finland,2024,89.2911196,80.1160128,86.6733953,85.8302775,91.7521973,92.226018
FIN,Finland,2023,89.1357028,78.9597268,86.1002615,84.3065138,91.7312587,92.2638636
FIN,Finland,2022,90.2348906,84.5001627,88.2297958,84.9743909,91.2817565,92.1730581
FIN,Finland,2021,90.3489508,85.1751318,93.2627909,86.5791866,92.6055607,92.9219625
FIN,Finland,2020,90.3688494,85.6622581,92.8616841,85.9602735,93.2612748,93.1034035
FRA,France,2024,76.9537832,61.771486,74.6869309,72.9392482,73.8081373,72.5135486
FRA,France,2023,77.4023509,65.5737443,77.6243079,74.3046227,74.0827805,73.5063433
FRA,France,2022,77.4969169,66.2332512,79.8021859,74.8750592,74.5113529,75.9023965
FRA,France,2021,77.2412738,68.0151167,81.2128456,75.1194295,75.561772,76.6545435
FRA,France,2020,77.5439443,68.0652717,80.3248197,74.7166668,76.3646169,74.0468813
PYF,French Polynesia,2024,72.1911564,83.4942443,,,74.4713483,43.6337247
PYF,French Polynesia,2023,72.232695,83.8205251,,,74.4786766,43.3397791
PYF,French Polynesia,2022,72.3086576,83.7947301,,,74.5240612,43.6448777
PYF,French Polynesia,2021,72.3854253,83.6360762,,,74.6908949,43.7336996
PYF,French Polynesia,2020,65.3602745,82.152599,,,73.3591789,
GAB,Gabon,2024,38.982056300000004,61.1647202,40.3127112,43.4528346,37.0742145,28.8930255
GAB,Gabon,2023,36.6346382,61.278856,39.983277,43.1843987,38.4087445,28.1225153
GAB,Gabon,2022,38.2530024,63.6313784,39.783793,42.8753088,38.1411869,27.5416399
GAB,Gabon,2021,40.1798724,61.0768695,39.8944703,41.7331977,41.1903866,30.3392427
GAB,Gabon,2020,40.6262016,62.1449871,35.5236452,40.6752445,40.9325048,31.5726423
GMB,"Gambia, The",2024,53.6637356,65.5861507,40.9219001,44.390045,50.1803647,41.0895318
GMB,"Gambia, The",2023,53.9013739,68.2173748,42.2339048,44.9001432,51.1051888,41.8599489
GMB,"Gambia, The",2022,53.1728626,68.1916174,41.5699401,44.2398726,50.7004498,41.7782135
GMB,"Gambia, The",2021,53.3253933,66.2906164,41.3619999,42.9626951,50.5597661,41.5001981
GMB,"Gambia, The",2020,52.3236331,68.2241135,39.9186412,43.7586077,51.1676292,43.3446735
GEO,Georgia,2024,52.4116933,55.4274855,60.2121471,65.1148903,59.5285321,55.5685949
GEO,Georgia,2023,55.0069694,63.8290809,62.7658644,67.6143372,59.792293,61.1821271
GEO,Georgia,2022,56.4827898,64.1856405,59.943003,67.0550368,60.0939605,61.0377725
GEO,Georgia,2021,57.3760311,62.4478661,60.1202955,68.1597933,60.8394369,62.4829695
GEO,Georgia,2020,58.4781278,63.7217145,57.3322836,67.5779462,61.3843467,64.459438
DEU,Germany,2024,84.8208684,68.0170742,81.406755,78.4893499,84.9456033,83.7515919
DEU,Germany,2023,84.705289,74.5380247,81.7001069,78.1129713,84.2533906,82.253352
DEU,Germany,2022,84.1299384,74.9216757,85.9365,79.523299,84.1757238,84.7431984
DEU,Germany,2021,84.4494113,77.1734509,86.8568108,80.3006818,85.1033429,84.782052
DEU,Germany,2020,84.8610331,77.5791167,85.9752286,79.5011339,84.9686433,85.7329669
GHA,Ghana,2024,60.4252814,66.090157,52.4989455,53.4456524,57.8935634,43.9385075
GHA,Ghana,2023,59.8335888,64.7189964,50.9948047,52.3487328,56.9132228,45.2166936
GHA,Ghana,2022,59.8196813,62.6874031,50.051445,52.305874,57.0014518,45.8969954
GHA,Ghana,2021,60.4693895,63.1229241,50.4750116,51.896444700000004,57.6793315,44.7085056
GHA,Ghana,2020,61.8015634,66.9002519,51.1389276,52.3373789,58.8751793,45.9874811
GRC,Greece,2024,70.5336147,68.2759168,55.0595965,62.4275979,62.0986924,53.9208369
GRC,Greece,2023,71.378003,72.4760005,56.3540919,62.9784621,63.7866683,54.5203203
GRC,Greece,2022,70.7122573,69.9418272,62.2992157,61.5062946,65.3854549,54.3827082
GRC,Greece,2021,70.8235136,69.7722104,62.4764927,61.1128813,64.605187,55.7703119
GRC,Greece,2020,71.8204834,71.0124183,62.7489676,61.8347455,65.1052509,53.5422898
GRL,Greenland,2024,81.4348929,87.084438,77.6453074,78.5750077,84.0628905,77.8679831
GRL,Greenland,2023,81.4546742,87.2644234,66.4926686,76.2473747,84.0643069,68.5926116
GRL,Greenland,2022,81.4908484,87.2501944,66.4662364,76.2406892,84.073074,68.632774800000007
GRL,Greenland,2021,81.5274041,95.8754921,60.7481215,78.6159298,84.9403902,68.6444663
GRL,Greenland,2020,81.6387076,95.9263372,60.6789163,78.6394734,85.0006862,70.4159245
GRD,Grenada,2024,63.4781058,86.37974,51.7321666,55.6495397,66.2736735,57.5505326
GRD,Grenada,2023,62.0017586,86.4830939,52.9097782,55.7069098,66.4312547,55.8214886
GRD,Grenada,2022,61.0614304,86.4749221,50.4871096,54.2194599,65.0733835,53.6982771
GRD,Grenada,2021,61.3295493,83.6742656,49.5052139,54.0859185,63.9256396,54.218855
GRD,Grenada,2020,63.1956751,83.7034631,49.4711149,52.9084321,64.3250552,55.514969
GUM,Guam,2024,77.4286239,82.8521298,76.0226009,61.0412254,74.772169,71.6636167
GUM,Guam,2023,77.4701626,82.9536885,69.890828,61.0200207,74.7745372,71.604473
GUM,Guam,2022,77.5461251,82.9456584,69.868063,61.0106572,77.106813,71.6658595
GUM,Guam,2021,77.6228911,82.8962772,66.2717223,61.0985387,76.7728892,71.6837307
GUM,Guam,2020,77.8566245,82.9249658,66.2151577,61.1315136,76.8851271,71.7357717
GTM,Guatemala,2024,48.6097484,62.3112389,33.6586778,49.9827169,40.4032981,28.6604826
GTM,Guatemala,2023,48.2786416,62.441645,34.5626109,48.4234013,39.5678527,25.8540445
GTM,Guatemala,2022,48.5358582,60.7606088,34.1479496,48.8428122,39.1149668,23.2277115
GTM,Guatemala,2021,49.2239545,56.0882035,36.8656986,48.7751371,40.1745041,23.2024743
GTM,Guatemala,2020,50.5901848,56.2626186,36.2431283,48.9157582,40.3404859,25.5915523
GIN,Guinea,2024,35.6814842,48.1677456,34.0710252,40.7989887,37.2080174,24.0821006
GIN,Guinea,2023,38.0686661,50.9211424,34.3558976,39.7259233,37.9145581,27.4543341
GIN,Guinea,2022,38.9688122,51.9956519,33.3576455,39.7137478,38.8007372,28.1404776
GIN,Guinea,2021,38.7815408,48.5406693,35.6181606,40.4668079,39.701807,27.383343
GIN,Guinea,2020,41.8776173,47.3141831,35.5546292,41.8239907,38.0979794,30.3177684
GNB,Guinea-Bissau,2024,43.2178109,55.3304569,24.7485606,36.0897781,35.7124503,20.6093313
GNB,Guinea-Bissau,2023,45.7786088,60.4386377,23.1129238,35.1880787,36.1902057,24.4768125
GNB,Guinea-Bissau,2022,46.5687657,59.7407092,21.6265568,34.1669754,35.4239662,24.3549139
GNB,Guinea-Bissau,2021,47.6100903,60.766724,24.4306703,34.1790295,36.2835238,23.2244748
GNB,Guinea-Bissau,2020,47.8576367,61.0452634,26.4291034,34.4941993,37.4565658,21.554866
GUY,Guyana,2024,54.9687965,69.5925307,49.4302941,47.8053366,51.212513,40.8333306
GUY,Guyana,2023,55.7296997,69.3320619,49.4414102,44.365328,50.5634474,41.5826702
GUY,Guyana,2022,56.1732863,69.4937085,48.828877,44.6483572,50.7636991,43.2126643
GUY,Guyana,2021,56.6266427,65.4135855,48.5670204,45.8203661,50.4431618,45.7447406
GUY,Guyana,2020,57.1370066,65.7697557,46.1830086,45.5929123,50.2993922,45.5090887
HTI,Haiti,2024,34.7109239,45.3741882,12.147424000000001,31.7826473,29.3691461,16.6757919
HTI,Haiti,2023,35.4415566,49.2955001,12.2417295,30.5018739,28.7128263,17.4668979
HTI,Haiti,2022,35.5068933,49.7180767,12.1957638,32.511749,30.0662313,17.3179222
HTI,Haiti,2021,37.7097199,45.1703278,11.2813601,32.5292727,33.0046405,17.7893617
HTI,Haiti,2020,41.6040272,48.1480266,14.0795218,34.2387511,36.1195024,18.5720148
HND,Honduras,2024,45.4105717,56.2064218,39.2915482,44.9578114,36.7110928,22.6603858
HND,Honduras,2023,46.193213,59.9027299,38.5482305,44.1118119,37.0610655,25.6028349
HND,Honduras,2022,45.6572098,57.7266194,37.9968603,45.092053,38.1748769,26.9776015
HND,Honduras,2021,43.802023,52.1201836,38.366425,45.2897872,37.3143589,25.1758094
HND,Honduras,2020,43.1419166,54.5120159,40.0142766,46.0942116,37.8437257,28.1678381
HKG,"Hong Kong SAR, China",2024,51.2373358,76.6745657,83.1791513,82.3038683,72.8154308,79.6777038
HKG,"Hong Kong SAR, China",2023,51.4519531,72.8711475,81.2341077,82.1612962,72.0396343,79.2984179
HKG,"Hong Kong SAR, China",2022,53.2777165,72.5420431,83.2935774,82.0461664,72.1820236,78.7925293
HKG,"Hong Kong SAR, China",2021,55.1384499,69.6299189,82.9288776,82.4021463,74.7261011,80.9404112
HKG,"Hong Kong SAR, China",2020,61.0611101,66.0293653,82.2846467,84.0679348,77.1939508,82.0397896
HUN,Hungary,2024,56.3639304,73.3475875,61.0995877,60.146918,60.2749551,48.6530989
HUN,Hungary,2023,56.0300739,75.8726477,61.9606214,58.6087913,60.2244262,49.5383766
HUN,Hungary,2022,57.6320347,77.3414621,64.1294133,59.4086263,61.1404022,48.6697861
HUN,Hungary,2021,58.2540592,78.4275956,66.5888485,61.1759102,62.078697,50.5119236
HUN,Hungary,2020,59.7687176,79.4552913,65.3557593,61.7730351,62.6303362,50.7258726
ISL,Iceland,2024,81.7864479,86.4880288,83.3448105,75.8432588,84.9818181,84.8729102
ISL,Iceland,2023,81.521777,86.4918414,83.2339776,76.8631966,84.3343755,81.5038768
ISL,Iceland,2022,81.9022059,87.5416868,83.0927402,77.337869,84.4478199,81.2447123
ISL,Iceland,2021,82.3108995,88.7538245,86.3507296,80.5668088,86.3539965,85.4723045
ISL,Iceland,2020,82.288365,88.5944668,81.745221,78.0059701,85.9929039,85.1457924
IND,India,2024,55.4677802,52.4723123,59.2076282,53.3476378,56.2895569,41.8767696
IND,India,2023,54.3472936,51.5804563,59.5575797,52.8571419,55.4517708,41.0674847
IND,India,2022,55.1293486,53.0233442,57.9369129,53.4803007,55.0631273,41.9344499
IND,India,2021,55.1745242,55.618123,56.0073078,52.1829925,53.7961752,41.7670443
IND,India,2020,57.8427157,53.5848591,58.1320686,52.5183166,55.1924812,42.703618
IDN,Indonesia,2024,53.7787497,55.4895207,54.8365911,56.8298066,53.4090118,36.8309801
IDN,Indonesia,2023,56.4982077,55.4106465,56.6528103,60.2378198,55.5576115,38.8844656
IDN,Indonesia,2022,57.3025784,52.8702435,55.8672272,59.296523,54.7424954,40.36113
IDN,Indonesia,2021,57.2686095,54.7968926,54.2003128,60.2592563,54.4919144,39.4300275
IDN,Indonesia,2020,58.6901424,56.6712515,55.4967156,58.407906,54.417917,40.8581326
IRN,"Iran, Islamic Rep.",2024,29.7481474,38.8851649,37.6106029,31.0266001,35.7129133,24.6329658
IRN,"Iran, Islamic Rep.",2023,29.7411517,44.2108184,36.947486,31.7039605,36.3038979,24.1493632
IRN,"Iran, Islamic Rep.",2022,30.045884,46.3386888,37.5806922,32.8202522,37.5891123,24.943143
IRN,"Iran, Islamic Rep.",2021,30.8120782,46.1177041,38.5725219,32.8834183,38.5664651,25.0474517
IRN,"Iran, Islamic Rep.",2020,31.6779526,45.0322128,37.5907798,32.8938543,39.2881443,25.4997346
IRQ,Iraq,2024,38.9686214,30.6332522,29.9154103,38.6096174,33.5897975,23.4634646
IRQ,Iraq,2023,38.5997109,27.893044,25.2876422,34.6591746,31.1439621,19.1731762
IRQ,Iraq,2022,39.0707519,27.8121934,27.5438368,35.5993847,31.9224297,20.0561464
IRQ,Iraq,2021,38.8679453,28.7885726,27.4041568,36.5329992,32.2243657,20.0427829
IRQ,Iraq,2020,39.0405286,28.6313211,27.6607343,35.1307953,30.9345026,20.1393472
IRL,Ireland,2024,85.5124618,78.0218154,82.6755532,83.1635984,84.3524795,79.686442
IRL,Ireland,2023,85.3236572,80.8689441,83.6350611,83.2088955,84.4681784,79.9561382
IRL,Ireland,2022,84.8842327,79.6512293,84.5079207,82.7232745,82.8500677,81.1797592
IRL,Ireland,2021,84.4812519,78.4715124,82.8094272,80.4298103,83.5614153,80.479056
IRL,Ireland,2020,83.1221818,80.9019235,80.5133684,77.9790467,83.1491123,80.1580961
ISR,Israel,2024,62.0152058,48.1722073,74.1410108,72.4302177,67.2862738,65.1273135
ISR,Israel,2023,64.2038955,48.0899696,77.7243629,71.4874085,68.3967101,65.4911875
ISR,Israel,2022,65.8258984,50.4355996,80.9687007,72.5639326,70.7509398,65.8259602
ISR,Israel,2021,66.0797755,53.9389948,82.2501258,73.3996144,72.1237722,66.5764353
ISR,Israel,2020,66.6347987,56.1947534,74.0068471,73.032022,72.2368138,61.887832
ITA,Italy,2024,75.530479,71.1675431,66.7457636,64.9588526,67.6216519,59.0516772
ITA,Italy,2023,75.8668786,73.9866119,67.9329688,65.8357262,68.1612229,59.4218321
ITA,Italy,2022,75.0405073,72.9400137,65.2987922,64.3443586,66.8431119,59.4705879
ITA,Italy,2021,74.7077693,73.3970182,62.5163957,63.9087126,67.0932093,58.7737508
ITA,Italy,2020,74.6993348,71.5703375,61.9905283,62.3028255,66.5103998,58.5820595
JAM,Jamaica,2024,65.3416046,74.0392932,54.6705042,56.2960749,55.6279602,45.9061284
JAM,Jamaica,2023,65.4815405,74.0301443,54.5486815,57.2057484,55.6419164,45.0927851
JAM,Jamaica,2022,65.6275112,73.6244016,56.2887658,57.55474,55.7816656,46.2595091
JAM,Jamaica,2021,65.6473048,68.3253356,57.9444571,57.7302175,55.6860963,46.1312082
JAM,Jamaica,2020,65.8112874,68.499749,58.8600916,56.416455,55.1748747,46.233857
JPN,Japan,2024,76.3842312,85.270442,91.9378443,75.8330279,82.9799844,75.322857
JPN,Japan,2023,76.6083575,87.5440509,90.0027288,76.9093801,82.926836,74.9337419
JPN,Japan,2022,76.09673,87.6884434,90.8264358,77.1114908,82.9264987,77.0417965
JPN,Japan,2021,76.0165966,85.7099533,83.4821825,76.8730443,83.3298195,77.3143791
JPN,Japan,2020,75.7748855,85.2401102,86.4392038,76.425199,83.0196947,76.8027176
JOR,Jordan,2024,44.3570076,59.9129515,55.5444973,59.215868,59.8652904,53.3644396
JOR,Jordan,2023,43.6737717,60.7571481,58.9409204,59.8167875,59.0855303,50.0010677
JOR,Jordan,2022,43.5235881,60.5741204,54.118084,58.2017136,58.2811037,48.3134561
JOR,Jordan,2021,44.3189975,59.2156857,53.7294447,57.8870075,57.7152382,48.2133212
JOR,Jordan,2020,45.0859863,60.3256959,53.554851,57.9074299,58.8265505,50.7071714
KAZ,Kazakhstan,2024,42.5722351,61.0644717,54.1941626,55.6049145,50.3980061,46.4968168
KAZ,Kazakhstan,2023,41.736451,62.442125,54.2964071,54.9494054,50.4626994,43.3548024
KAZ,Kazakhstan,2022,41.4913864,55.9945571,54.4581171,53.8525157,49.3810257,43.9682585
KAZ,Kazakhstan,2021,41.8293717,61.9220603,51.6869126,55.0715534,48.951777,42.3932789
KAZ,Kazakhstan,2020,41.3660073,61.0381062,52.3568797,55.7125355,49.8146201,42.0228467
KEN,Kenya,2024,50.649359,42.7371819,45.5482916,49.6019443,48.969788,31.6245639
KEN,Kenya,2023,52.1090946,49.2970221,45.2523381,48.5754393,49.606121,32.4824001
KEN,Kenya,2022,52.4566065,49.4578625,44.8757346,48.6976063,49.6576378,32.6476662
KEN,Kenya,2021,49.1873936,46.9300692,44.5971582,48.1628795,49.2953078,33.4673896
KEN,Kenya,2020,49.2213466,47.9541846,44.030085,47.605713,47.0094475,32.6627583
KIR,Kiribati,2024,73.877803,87.0442125,42.8957403,46.9544291,70.4924953,55.436614
KIR,Kiribati,2023,74.0829111,87.1324236,43.4079036,45.4038713,69.6085536,54.5705577
KIR,Kiribati,2022,74.1092454,87.1254492,46.3745069,46.444886,70.2521289,54.6117634
KIR,Kiribati,2021,74.1358579,85.7896595,46.3805287,46.1870422,75.3726952,54.6237606
KIR,Kiribati,2020,72.3530439,85.9646041,46.3405363,46.1996341,76.913628,54.9679112
PRK,"Korea, Dem. People's Rep.",2024,22.06435,71.3957857,26.6210975,25.3046262,30.7069238,16.3310097
PRK,"Korea, Dem. People's Rep.",2023,22.5265259,71.4703965,26.6321106,25.2994453,30.7076587,16.3175329
PRK,"Korea, Dem. People's Rep.",2022,22.5959881,70.483852,25.3819029,24.1521296,31.391717,14.4206765
PRK,"Korea, Dem. People's Rep.",2021,22.1192745,62.505549,22.5239975,24.1717587,28.0480784,14.424496
PRK,"Korea, Dem. People's Rep.",2020,22.4207181,62.6941435,26.9411442,24.179124,28.0814121,16.0042891
KOR,"Korea, Rep.",2024,70.987799,76.8155059,80.2483639,70.8498709,76.19689,65.0511972
KOR,"Korea, Rep.",2023,72.9350857,81.8173145,80.420774,70.6287777,77.3500467,65.6442296
KOR,"Korea, Rep.",2022,73.4330367,80.5106575,80.2050057,70.9067427,77.0360701,64.4874887
KOR,"Korea, Rep.",2021,74.2070528,81.2769586,82.9600367,70.4449476,77.0695225,63.2670395
KOR,"Korea, Rep.",2020,73.3976554,80.7211746,82.2854536,69.1882871,76.7221314,63.154697
XKX,Kosovo,2024,59.6424284,60.3959884,50.148657300000004,51.3465962,57.8620111,42.6987358
XKX,Kosovo,2023,59.7993924,63.4871705,51.5204679,48.7121618,56.2116888,44.8584508
XKX,Kosovo,2022,59.4825414,65.0225108,50.8782494,47.4717238,54.3964501,41.8811357
XKX,Kosovo,2021,58.5763325,65.9129798,48.2693811,48.9650155,54.8309704,39.9218321
XKX,Kosovo,2020,59.0778803,64.452655,44.1150398,48.712709,52.1719305,39.2807159
KWT,Kuwait,2024,44.2764629,70.9153025,57.7161007,61.2267699,60.9374037,52.2744755
KWT,Kuwait,2023,47.4764763,70.859994,57.3510373,59.9489567,60.2529478,51.2150963
KWT,Kuwait,2022,47.1495805,67.6737221,57.8274003,58.7492469,60.8141699,49.4163343
KWT,Kuwait,2021,47.0402897,68.5286289,51.9172115,57.4519876,59.0213653,46.6273727
KWT,Kuwait,2020,48.643796,68.5489184,49.1596372,57.0016031,59.4927045,44.714908
KGZ,Kyrgyz Republic,2024,42.8239839,57.2762971,34.0644026,46.712967,40.8538794,24.8510339
KGZ,Kyrgyz Republic,2023,44.0616234,57.1884601,31.8166933,46.4365303,40.203215,23.6346513
KGZ,Kyrgyz Republic,2022,45.6498693,58.67781,31.9268067,46.5666966,41.0186736,23.5160096
KGZ,Kyrgyz Republic,2021,47.8285896,59.2727382,34.9636982,46.7840457,41.831993,24.4075925
KGZ,Kyrgyz Republic,2020,48.3251212,57.2370436,39.9413965,47.2196823,44.4091426,26.6328335
LAO,Lao PDR,2024,31.0998769,75.4201168,40.025976,44.8317236,44.1871968,28.0202267
LAO,Lao PDR,2023,31.7885806,78.4973142,36.6901055,42.7186671,42.4266073,28.3290599
LAO,Lao PDR,2022,32.370064,77.9079699,37.5273689,41.9482001,42.5113063,27.665342
LAO,Lao PDR,2021,32.3778071,75.8544353,36.8903673,43.1593285,43.9264409,26.0482458
LAO,Lao PDR,2020,31.1654727,75.2150591,36.4473703,42.6288804,41.9018788,26.3811847
LVA,Latvia,2024,76.5911683,76.4873804,65.7908892,72.2084716,75.748188,64.5567977
LVA,Latvia,2023,76.3204346,80.2337614,63.7345266,70.594866,75.4267729,63.560647
LVA,Latvia,2022,75.5200195,79.2157458,65.4871192,69.9885637,74.3265529,64.5316679
LVA,Latvia,2021,74.1953506,79.6789749,68.4428785,72.2555429,73.899724,64.905274
LVA,Latvia,2020,73.0508506,78.3005205,66.8280255,70.3285876,72.8492154,63.2486116
LBN,Lebanon,2024,43.315368,42.1564246,29.3664046,39.7399015,38.2850305,21.457146
LBN,Lebanon,2023,43.5940654,44.0912695,28.671992500000002,40.4704085,38.6094179,22.4433844
LBN,Lebanon,2022,43.2213919,42.9610568,31.0782366,39.9852449,39.1975541,23.2081318
LBN,Lebanon,2021,43.5085692,43.2923323,30.7937803,41.902832,39.7051648,22.3773322
LBN,Lebanon,2020,44.7916942,42.8470593,32.8837928,43.5775187,41.1579805,22.9471597
LSO,Lesotho,2024,54.1339418,61.4725426,38.7584729,47.215987,49.9670708,41.7332409
LSO,Lesotho,2023,53.7359264,63.5759709,36.7512861,45.9612585,49.3532166,41.7700137
LSO,Lesotho,2022,54.2938777,63.7051983,36.7977885,45.7363817,48.961057,44.8920032
LSO,Lesotho,2021,52.9680345,63.6157044,37.4651208,44.5698376,50.0504256,44.7303827
LSO,Lesotho,2020,54.4517852,63.4142594,37.5628193,43.6446308,50.6100626,47.6590109
LBR,Liberia,2024,54.893058,61.9904106,27.1075325,41.5860693,42.0257511,26.6541519
LBR,Liberia,2023,54.9002672,62.921374900000004,27.7099257,40.5889165,41.4794541,27.3677631
LBR,Liberia,2022,53.9449849,61.0979243,25.4488817,39.6123296,42.1850809,26.6433732
LBR,Liberia,2021,53.5700151,62.3012684,25.5339571,39.9473682,42.4569635,27.8235114
LBR,Liberia,2020,53.442779,62.1346886,24.5966387,39.7193435,42.243389,29.2985565
LBY,Libya,2024,33.4659211,33.4995362,23.7399254,27.4345991,27.7407193,16.8529802
LBY,Libya,2023,33.0964663,31.0158937,23.190418,26.1306575,28.2491183,16.6288336
LBY,Libya,2022,33.8003587,31.6633359,20.9355533,24.8486681,26.9631879,16.8185109
LBY,Libya,2021,34.6432278,28.1965038,22.9726916,24.8684407,30.0679248,16.476093
LBY,Libya,2020,37.3425789,27.9189568,19.5931557,23.4844244,28.8515893,17.0589216
LIE,Liechtenstein,2024,80.0862806,92.9235285,84.262401,79.0872808,86.696949,83.3795282
LIE,Liechtenstein,2023,79.8644663,93.0123238,84.2785979,79.0790197,86.6979421,83.3544773
LIE,Liechtenstein,2022,80.2446851,93.0053033,80.8446109,79.0753718,86.7040863,83.3804776
LIE,Liechtenstein,2021,80.2104433,92.9621278,80.7714353,79.498795,85.0589066,83.3880479
LIE,Liechtenstein,2020,79.839492,93.9549258,84.8154181,80.9665559,85.0993483,88.7602827
LTU,Lithuania,2024,78.248591,81.941602,74.7023169,75.2330168,80.616275,67.9504044
LTU,Lithuania,2023,77.6556977,82.1525341,69.7124583,73.9915679,79.8357352,65.8389532
LTU,Lithuania,2022,77.545047,82.3600141,69.679071,73.5563003,78.1051508,65.1627159
LTU,Lithuania,2021,76.704518,83.1660384,70.3703584,73.3293086,77.8021959,66.5773988
LTU,Lithuania,2020,75.8652036,85.5490156,69.9897592,68.9997445,76.586258,65.6953679
LUX,Luxembourg,2024,85.9966191,84.2238592,91.0007125,83.8609523,87.2859802,88.656893
LUX,Luxembourg,2023,86.0393392,83.2434027,93.0595368,83.8412822,86.7160753,88.5890414
LUX,Luxembourg,2022,86.498517,83.3929794,89.5582268,84.3104046,87.0446706,87.6782432
LUX,Luxembourg,2021,86.185478,85.4536695,89.2797243,84.1266802,86.7966523,87.6061165
LUX,Luxembourg,2020,85.7963959,86.5719558,89.8868696,83.2642169,87.8896077,92.5232852
MAC,"Macao SAR, China",2024,57.9626882,83.8962136,73.0385835,76.4915715,71.6299128,59.4610076
MAC,"Macao SAR, China",2023,57.9824695,82.5226463,73.057907,77.4280642,70.377934,59.4359567
MAC,"Macao SAR, China",2022,58.0186419,82.5116765,73.0396413,77.4244163,70.3856048,59.4619569
MAC,"Macao SAR, China",2021,58.0551994,82.4442007,73.0448309,77.4586529,70.4137959,59.4695273
MAC,"Macao SAR, China",2020,65.9905706,83.9957362,73.0103605,77.4714987,71.712865,59.4915683
MDG,Madagascar,2024,44.153487,57.6856867,34.5565404,43.0564862,41.7727107,27.4125678
MDG,Madagascar,2023,46.2565335,51.5297888,32.7748557,41.4563036,40.5214048,27.9096229
MDG,Madagascar,2022,47.5054761,56.9261073,33.4865068,41.7518806,40.3232666,28.3020557
MDG,Madagascar,2021,47.1096783,58.0152523,32.9487125,41.157451,41.5929019,28.678781
MDG,Madagascar,2020,48.5473083,56.0780417,33.7064168,41.1240676,42.187005,30.7224149
MWI,Malawi,2024,54.933872,59.3998253,37.2287788,45.6372095,54.4467828,34.7249395
MWI,Malawi,2023,55.5981702,61.7531318,36.3969461,43.7205008,54.652356,35.1525763
MWI,Malawi,2022,55.460914,63.0430642,36.1458285,44.299504399999996,53.2566127,34.6004541
MWI,Malawi,2021,55.5239492,64.1376617,38.1231395,43.9038089,52.7402813,39.1181865
MWI,Malawi,2020,55.3580641,64.5856591,36.788255,43.2955825,52.4438046,38.1680428
